what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1358452618703
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358452635119
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358452646083
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358452646233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358452732770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358452743627
no handler,command,org.eclipse.wb.core,,"org.eclipse.wb.core.commands.switch",1358452744856
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358452745727
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358452746012
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358452751559
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358452752011
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358452755668
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358452769039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358452772885
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358452914564
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358452966665
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358452979111
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453017636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453017699
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453032431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453039067
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1358453062801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453074259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453074318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453099915
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453101767
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358453117894
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453123416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453123490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358453126784
started,bundle,org.eclipse.cdt.launch,7.0.0.201106081058,"org.eclipse.cdt.launch",1358453129719
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358453130127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453130567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453136268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453136297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453137746
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358453139479
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1358453155291
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1358453159270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358453160485
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358453162304
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453162870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453170894
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453170920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453171725
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1358453175284
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358453179354
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358453180317
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453180322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453180788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453180937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453194433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453194461
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453196040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453259404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453281432
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358453285706
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358453289926
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453291508
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358453300876
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358453302793
