what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433268482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433488044
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358433489251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433489308
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433490526
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1358433491141
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433491147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433539898
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358433539958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433544875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433544932
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358433548208
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433548255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433548972
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1358433549603
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433549609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433553288
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358433553344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433555868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433555959
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358433556996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433556998
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433557456
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1358433557901
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433557936
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358433665377
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434014090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434659407
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358434659429
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434675118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434675238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1358434815912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358434820090
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358434820818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434820830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434821498
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434821726
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434823612
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434823695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434823746
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1358434823754
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358434829638
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358434830610
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434830905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434832397
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358434845818
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358434846786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434846791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434847166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434847303
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434848437
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1358434849764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434850242
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434851068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434851156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434851314
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1358434851342
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358434857291
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434897426
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358434897538
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1358434902540
